code,name,latitude,longitude,yearid
6906,de St-Vallier / Rosemont,45.531917299999996,-73.59798342,2014
6153,Cartier / Marie-Anne,45.532674,-73.571776,2014
6088,Guy / Notre-Dame,45.489951,-73.567091,2014
6165,Brébeuf / Laurier,45.53248,-73.58507,2014
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,2014
6118,Champlain / Ontario,45.52504753729988,-73.56003552675247,2014
6117,Robin / de la Visitation,45.52087,-73.55922,2014
6201,Villeneuve / de l'Hôtel-de-Ville,45.52352540631033,-73.58750939369202,2014
6235,St-Dominique / St-Viateur,45.52654331973003,-73.59823286533357,2014
6183,Laval / du Mont-Royal,45.52241290921658,-73.58412981033325,2014
6267,de Bordeaux / Beaubien,45.54475,-73.5949,2014
6414,Laporte / Guay,45.48007342327107,-73.58547896146773,2014
6314,de Lanaudière / Marie-Anne,45.529219,-73.574777,2014
6182,de Bullion / du Mont-Royal,45.5215,-73.5851,2014
6273,Cartier / Bélanger,45.546939,-73.602616,2014
6166,Brébeuf / St-Grégoire,45.5341,-73.58851999999999,2014
6109,Quai de la navette fluviale,45.51341276005555,-73.53825330734253,2014
6275,Chambord / Jean-Talon,45.544828,-73.610458,2014
6047,University / Prince-Arthur,45.50766169576538,-73.57885992183583,2014
6180,Place de la paix ( Pl. du marché / St-Dominique ),45.509685299999994,-73.56231675,2014
6904,Fabre / Beaubien,45.542055,-73.59779300000001,2014
6269,Bercy / Ontario,45.534310977268525,-73.54996919631958,2014
6249,Bélanger / St-Denis,45.53696,-73.61199,2014
6155,Garnier / du Mont-Royal,45.53092,-73.57674,2014
6015,Berri / de Maisonneuve,45.515299,-73.561273,2014
6368,10e avenue / Masson,45.55031640880025,-73.57335805892943,2014
6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542604,2014
6039,McGill / des Récollets,45.500779,-73.558826,2014
6083,Square Phillips,45.504094887726744,-73.56869637966156,2014
6134,Gascon / Rachel,45.537964,-73.56264300000001,2014
6001,Hôtel-de-Ville 2 (du Champs-de-Mars / Gosford),45.50931028555171,-73.55443105101584,2014
6174,Roy / St-Denis,45.519079999999995,-73.5727,2014
6078,de Maisonneuve / de Bleury,45.50708,-73.56917,2014
6048,Queen / Ottawa,45.4979738,-73.55614096,2014
6014,St-Denis / de Maisonneuve,45.513917296074005,-73.56076508760451,2014
6179,Duluth / St-Denis,45.52060423232697,-73.57598394155501,2014
6191,St-Zotique / Clark,45.531401,-73.612674,2014
6194,Tupper / Atwater,45.48885477417901,-73.58359336853026,2014
6003,Evans / Clark,45.511119,-73.56797399999999,2014
6053,Belmont / Beaver Hall,45.502326000000004,-73.565138,2014
6215,St-Cuthbert / St-Urbain,45.51494,-73.57821,2014
6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,2014
6091,Joseph Manceau / René-Lévesque,45.49172173024755,-73.57688951320596,2014
6202,Ste-Famille / Sherbrooke,45.510016,-73.570654,2014
6322,St-Dominique / Villeray,45.537813,-73.624872,2014
6224,Villeneuve / du Parc,45.51829,-73.59235,2014
6205,Milton / du Parc,45.50971,-73.57354000000001,2014
6424,Président-Kennedy / McGill College,45.503063,-73.573986,2014
6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.53928499999999,2014
6173,Berri / Cherrier,45.5191458,-73.56924140000001,2014
6027,de Maisonneuve / Mansfield,45.502292100000005,-73.57325211,2014
6274,de la Roche / St-Joseph,45.531164000000004,-73.58369499999999,2014
6104,Wolfe / René-Lévesque,45.51687264682678,-73.55417490005495,2014
6207,Ste-Famille / des Pins,45.512812949534855,-73.57701659202577,2014
6127,Henri-Julien / de Castelneau,45.537877,-73.618323,2014
6105,Plessis / René-Lévesque,45.519376,-73.55195135,2014
6145,du Parc-La Fontaine / Duluth,45.52456565105688,-73.57207864522934,2014
6181,Clark / Rachel,45.517353799999995,-73.58212888,2014
6043,Square Victoria,45.50206,-73.56295,2014
6009,Ste-Catherine / St-Hubert,45.51533014906273,-73.55914771556854,2014
6403,Georges-Vanier / Notre-Dame,45.484859137744294,-73.57158511877059,2014
6332,de Gaspé / de Liège,45.542578999999996,-73.636557,2014
6036,de la Commune / St-Sulpice,45.5042453,-73.55354458,2014
6186,St-André / Laurier,45.52955900967215,-73.5876018932322,2014
6413,Square Phillips 2,45.50345009602768,-73.56840401887894,2014
6132,Larivière / de Lorimier,45.52915520624575,-73.559410572052,2014
6432,de Maisonneuve / Greene,45.48697062,-73.58929306,2014
6029,Bel Air / St-Antoine,45.482779,-73.58452544,2014
6262,de la Roche /  de Bellechasse,45.537159225331315,-73.59747648239136,2014
6418,de Vendôme / de Maisonneuve,45.47422369503188,-73.60372066497803,2014
6258,Parc Père-Marquette (Chambord / Rosemont),45.53702583434782,-73.59316617250444,2014
6196,Villeneuve / St-Laurent,45.52129287302808,-73.58936548233031,2014
